sentence,category
tuition Rs.36429,Education
medical test Rs.13790,Health
මේකප් Rs.24454,Personal Care
14529 makeup,Personal Care
cinema salli 8986,Entertainment
46967 මුදල්,Other
adventure salli 2250,Entertainment
23808 පන්ති ගාස්තු,Education
pin salli 42687,Gifts & Charity
netflix salli 13182,Entertainment
channeling 46905,Health
soap Rs.22542,Personal Care
coffee Rs.4305,Food
අතමාරුව salli 41628,Finance
47979 bakery,Food
wifi salli 27291,Utilities
street food salli 36778,Food
12647 චැනලින්,Health
20647 biscuit,Food
stock salli 27924,Finance
vegetables salli 20486,Shopping
pin Rs.2233,Gifts & Charity
16728 පෙට්‍රල්,Transport
taxi 8874,Transport
26561 cool drink,Food
තේ බොන්න 11435,Food
දානය salli 17600,Gifts & Charity
20615 spent,Other
show Rs.38250,Entertainment
අතමාරුව Rs.48755,Finance
අතමාරුව salli 30135,Finance
leasing salli 13059,Finance
class fee 20810,Education
facewash 47497,Personal Care
cinema Rs.32247,Entertainment
degree salli 40757,Education
tuition salli 42478,Education
club 30848,Entertainment
14373 snacks,Food
youtube premium Rs.8940,Entertainment
exam fee salli 7037,Education
panadol Rs.2156,Health
restaurant salli 48179,Food
මුදල් Rs.31861,Other
concert salli 3509,Entertainment
outing Rs.38617,Entertainment
adventure salli 27086,Entertainment
water bill 25521,Utilities
45285 dentist,Health
petrol salli 16067,Transport
ticket salli 44885,Transport
45998 අතමාරුව,Finance
unknown salli 9307,Other
supermarket 23597,Shopping
මුදල් 17365,Other
13278 නිකම්ම,Other
23683 insurance,Finance
vehicle repair 18738,Transport
27632 phone bill,Utilities
ලයිට් බිල salli 8222,Utilities
beach salli 48950,Entertainment
ෆාමසි 8288,Health
investment salli 15083,Finance
27170 restaurant,Food
කොණ්ඩය කැපුවා 33048,Personal Care
චැනලින් Rs.3992,Health
661 outing,Entertainment
අතමාරුව Rs.11765,Finance
helping salli 26780,Gifts & Charity
eye check salli 35641,Health
pickme Rs.3168,Transport
stock 8256,Finance
don't know salli 23917,Other
31392 vegetables,Shopping
40293 physio,Health
අතමාරුව 30707,Finance
lunch Rs.27640,Food
24713 ෆිල්ම්,Entertainment
auto 1990,Transport
birthday salli 47861,Gifts & Charity
lost Rs.22101,Other
36948 ඇඳුම් ගත්තා,Shopping
19065 bike service,Transport
සපත්තු salli 150,Shopping
වෙනත් Rs.41333,Other
රීලෝඩ් salli 32029,Utilities
wedding 39874,Gifts & Charity
online course 12595,Education
spent 25711,Other
36285 perfume,Personal Care
postpaid Rs.7436,Utilities
alms 31235,Gifts & Charity
43077 perfume,Personal Care
6139 library,Education
match ticket Rs.47011,Entertainment
42441 doctor,Health
tuition salli 3898,Education
ගෑස් Rs.30534,Utilities
අතමාරු ගත්තා salli 43343,Finance
4866 youtube premium,Entertainment
6762 online course,Education
course 34646,Education
45680 විනෝදෙට,Entertainment
reload Rs.35528,Utilities
දවල් කෑමට 9659,Food
cinema 13012,Entertainment
42806 adventure,Entertainment
bus 24173,Transport
40959 streaming,Entertainment
youtube premium 47235,Entertainment
workshop 36867,Education
auto Rs.27319,Transport
exam fee Rs.26551,Education
netflix 1136,Entertainment
29545 ඩිසල්,Transport
trip 28079,Entertainment
highway toll Rs.37386,Transport
කෝස් එකට Rs.14997,Education
offer salli 29092,Gifts & Charity
පන්ති ගාස්තු Rs.2673,Education
විභාග ගාස්තු 43969,Education
insurance salli 42509,Finance
facewash Rs.18904,Personal Care
show salli 37163,Entertainment
trimming salli 41827,Personal Care
course Rs.44778,Education
bill salli 4499,Utilities
hair color Rs.16777,Personal Care
cash Rs.28881,Other
broadband 5274,Utilities
credit card salli 2569,Finance
alms salli 15733,Gifts & Charity
lost salli 29021,Other
cash salli 31104,Other
furniture Rs.33466,Shopping
13574 soap,Personal Care
channeling salli 27900,Health
38962 credit card,Finance
34482 නිකම්ම,Other
don't know Rs.18012,Other
බඩු ගත්තා Rs.14751,Shopping
hair cut 44078,Personal Care
කෑම 33051,Food
34887 electricity,Utilities
perfume Rs.41455,Personal Care
pharmacy 7439,Health
අතින් ගියා Rs.9937,Other
daraz 49621,Shopping
medical test salli 11409,Health
facewash Rs.5673,Personal Care
broadband salli 38749,Utilities
beer Rs.15499,Entertainment
spa 45479,Personal Care
charity 42726,Gifts & Charity
unknown salli 26585,Other
leasing Rs.2643,Finance
පෙට්‍රල් salli 38987,Transport
22570 broadband,Utilities
ayurvedic salli 24453,Health
misc salli 16504,Other
ලෝන් එකට 25505,Finance
stationary Rs.16159,Education
threewheel 22809,Transport
barber 38291,Personal Care
shaving 36385,Personal Care
fare 18743,Transport
49293 bag,Shopping
pocket money salli 3003,Other
credit card Rs.49563,Finance
31807 kema,Food
42901 bank fee,Finance
meat 23441,Shopping
අතින් ගියා Rs.47831,Other
burger Rs.38956,Food
bank fee salli 169,Finance
නිකම්ම Rs.6577,Other
45576 health insurance,Health
4359 alms,Gifts & Charity
petrol Rs.27214,Transport
arpico salli 22714,Shopping
cargills Rs.45349,Shopping
37552 drink,Food
gift 34998,Gifts & Charity
27954 බෙහෙත් වලට,Health
නිකම්ම Rs.41265,Other
40375 exam fee,Education
general 20193,Other
short eats 16542,Food
24128 loan,Finance
recharge Rs.21148,Utilities
cinema 46367,Entertainment
doctor 26960,Health
offer 21417,Gifts & Charity
liquor Rs.37253,Entertainment
payment 42247,Finance
20529 finance,Finance
lost 39590,Other
මුදල් Rs.31263,Other
leasing Rs.16669,Finance
donation 35881,Gifts & Charity
නිකම්ම Rs.9135,Other
තෑගි salli 4624,Gifts & Charity
14370 don't know,Other
cash Rs.22841,Other
17996 lost,Other
electricity Rs.4252,Utilities
පන්ති ගාස්තු Rs.42691,Education
cargills 37389,Shopping
pickme food Rs.8965,Food
නිකම්ම 27299,Other
11586 milk powder,Shopping
23141 shampoo,Shopping
46949 other,Other
6402 charity,Gifts & Charity
shampoo Rs.26184,Shopping
meat Rs.44200,Shopping
short eats Rs.3608,Food
exam fee salli 42802,Education
slt bill salli 26850,Utilities
තෑගි Rs.13965,Gifts & Charity
udemy 25383,Education
49808 hotel bill,Food
salon 1242,Personal Care
6757 dinner,Food
cinema salli 47116,Entertainment
street food salli 39453,Food
24645 helping,Gifts & Charity
uber 42904,Transport
විභාග ගාස්තු salli 9223,Education
book salli 30312,Education
exam fee Rs.34484,Education
broadband salli 13021,Utilities
25026 dansal,Gifts & Charity
42655 නිකම්ම,Other
arpico salli 15298,Shopping
netflix Rs.22678,Entertainment
snacks 3431,Food
spa salli 32044,Personal Care
daraz Rs.5470,Shopping
tire change 9756,Transport
don't know salli 17118,Other
කොණ්ඩය කැපුවා 32026,Personal Care
ආධාර salli 49443,Gifts & Charity
tire change Rs.39171,Transport
skincare salli 32400,Personal Care
channeling salli 43575,Health
ලයිට් බිල Rs.40138,Utilities
fuel salli 46581,Transport
netflix 36675,Entertainment
සපත්තු salli 41148,Shopping
ඉන්ෂුවරන්ස් salli 30140,Finance
beach 20202,Entertainment
නයි පියවන්න salli 40396,Finance
ubereats salli 9847,Food
operation salli 39421,Health
beer Rs.31448,Entertainment
furniture 18597,Shopping
41013 offer,Gifts & Charity
spent salli 40999,Other
beer 41058,Entertainment
hair cut salli 20294,Personal Care
meat Rs.24309,Shopping
කෝස් එකට salli 49715,Education
cash Rs.37095,Other
cash 4227,Other
16986 tax,Finance
vegetables 14528,Shopping
vacation Rs.15043,Entertainment
general Rs.45049,Other
23882 game,Entertainment
ayurvedic salli 17542,Health
කෝස් එකට 4337,Education
pickme food salli 42767,Food
netflix Rs.12656,Entertainment
8522 street food,Food
bus salli 27958,Transport
general salli 3363,Other
beauty Rs.8276,Personal Care
අතමාරු ගත්තා salli 4840,Finance
46952 ෆිල්ම්,Entertainment
gift 32665,Gifts & Charity
netflix salli 12670,Entertainment
netflix Rs.28365,Entertainment
22788 ජිම් එකට,Personal Care
කෝච්චියට 21981,Transport
trimming salli 6940,Personal Care
don't know 16810,Other
තෙල් Rs.44595,Transport
11471 fitness,Health
හොස්පිට්ල් salli 33850,Health
16696 religious,Gifts & Charity
332 crypto,Finance
දානය 41811,Gifts & Charity
dansal 46652,Gifts & Charity
34982 highway toll,Transport
loan salli 876,Finance
37390 bus,Transport
train salli 44126,Transport
petrol Rs.24827,Transport
13576 liquor,Entertainment
ලෝන් එකට 49258,Finance
ලයිට් බිල Rs.7883,Utilities
6315 crypto,Finance
birthday Rs.49430,Gifts & Charity
අතමාරු ගත්තා salli 14023,Finance
hair color Rs.37461,Personal Care
donation Rs.13304,Gifts & Charity
10378 other,Other
internet salli 17701,Utilities
බෙහෙත් වලට salli 2427,Health
rice bag salli 10175,Shopping
stock salli 4055,Finance
broadband Rs.11946,Utilities
bike service salli 45221,Transport
38063 අතින් ගියා,Other
බර්ත්ඩේ salli 27145,Gifts & Charity
game 9153,Entertainment
channeling Rs.44622,Health
39948 දවල් කෑමට,Food
26438 කොණ්ඩය කැපුවා,Personal Care
තෙල් 42049,Transport
religious salli 2839,Gifts & Charity
salon salli 38718,Personal Care
udemy 28902,Education
කෑම salli 3138,Food
mobitel salli 31086,Utilities
ත්‍රීවීල් 34934,Transport
vacation salli 48940,Entertainment
kitchen items salli 38772,Shopping
13454 online course,Education
cargills salli 46913,Shopping
5326 සැලෝන් එකට,Personal Care
street food salli 30105,Food
present Rs.23202,Gifts & Charity
ඩිසල් 32871,Transport
doctor salli 45272,Health
hospital Rs.29579,Health
49002 fiber,Utilities
මේකප් Rs.35512,Personal Care
car wash salli 44194,Transport
43546 present,Gifts & Charity
ලෝන් එකට salli 32560,Finance
offer Rs.10717,Gifts & Charity
snacks 9792,Food
bag 12657,Shopping
liquor Rs.47286,Entertainment
lost Rs.11612,Other
wedding salli 29831,Gifts & Charity
shoppin salli 41725,Shopping
postpaid salli 40770,Utilities
watch Rs.49354,Shopping
pickme food Rs.94,Food
clothes Rs.42521,Shopping
drink salli 17342,Food
5682 wedding,Gifts & Charity
14842 rice bag,Shopping
grocery salli 22456,Shopping
perfume Rs.11171,Personal Care
recharge 43516,Utilities
shoes 46121,Shopping
tuk 32736,Transport
present salli 22031,Gifts & Charity
prepaid Rs.47545,Utilities
පෑන් පැන්සල් salli 39044,Education
44398 cash,Other
හොස්පිට්ල් Rs.41247,Health
දවල් කෑමට Rs.25321,Food
19165 ෆිල්ම්,Entertainment
slt bill 2162,Utilities
broadband 48611,Utilities
loan Rs.31692,Finance
34036 dialog,Utilities
clinic salli 36805,Health
slt bill 23448,Utilities
3424 other,Other
16461 cash,Other
24902 kottu,Food
liquor 8046,Entertainment
කොණ්ඩය කැපුවා Rs.2838,Personal Care
වෙනත් salli 24326,Other
41379 current bill,Utilities
diesel salli 15815,Transport
library salli 5881,Education
alms salli 33659,Gifts & Charity
සපත්තු 18460,Shopping
dentist Rs.17953,Health
garbage fee salli 22546,Utilities
train 38822,Transport
pickme food Rs.16370,Food
ඉන්ෂුවරන්ස් salli 28180,Finance
සපත්තු 37245,Shopping
stock 12598,Finance
don't know Rs.9633,Other
adventure 40242,Entertainment
poth salli 18453,Education
23515 misc,Other
ticket salli 6714,Transport
library 29667,Education
16428 dental,Health
36775 petrol,Transport
gift Rs.11605,Gifts & Charity
14532 hair cut,Personal Care
pocket money Rs.25165,Other
clothes salli 14081,Shopping
35924 poth,Education
crypto salli 49787,Finance
14219 bike service,Transport
43777 uber,Transport
tax salli 45451,Finance
bill salli 29605,Utilities
පින් වලට 23519,Gifts & Charity
reload Rs.23777,Utilities
coursera salli 28795,Education
general Rs.35981,Other
36207 hotel bill,Food
charity Rs.19753,Gifts & Charity
vitamin Rs.5331,Health
dhal 4458,Shopping
doctor salli 27127,Health
8850 netflix,Entertainment
lunch 26533,Food
48178 beach,Entertainment
dentist Rs.25114,Health
21730 rice bag,Shopping
vegetables Rs.40010,Shopping
vehicle repair salli 5957,Transport
මුදල් salli 33882,Other
15258 burger,Food
වතුර බිල Rs.5480,Utilities
pickme food 35400,Food
charity salli 15358,Gifts & Charity
pharmacy Rs.32327,Health
gym salli 47437,Personal Care
ආධාර 27402,Gifts & Charity
cash 20892,Other
transport cost 2704,Transport
book salli 31214,Education
reload Rs.8943,Utilities
other salli 40301,Other
පොත් වලට Rs.12493,Education
internet salli 32994,Utilities
21083 pocket money,Other
book Rs.27366,Education
තෙල් Rs.36632,Transport
39516 gym,Personal Care
crypto Rs.22056,Finance
adventure 38683,Entertainment
tax 47782,Finance
degree 20361,Education
bank fee 2651,Finance
ත්‍රීවීල් salli 10700,Transport
coffee Rs.20316,Food
concert 33108,Entertainment
රෑ කෑම Rs.45166,Food
unknown salli 19102,Other
other salli 26241,Other
watch 43646,Shopping
lab salli 45415,Health
clinic Rs.433,Health
චැනලින් salli 6172,Health
unknown salli 46640,Other
tea Rs.20273,Food
data 835,Utilities
shoppin 26653,Shopping
ත්‍රීවීල් 2542,Transport
20332 coffee,Food
vegetables 5980,Shopping
season 47204,Transport
cash salli 27568,Other
කොණ්ඩය කැපුවා salli 49888,Personal Care
kewa salli 11166,Food
ආධාර salli 31964,Gifts & Charity
බර්ත්ඩේ salli 9754,Gifts & Charity
interest Rs.11932,Finance
cash 1988,Other
panthi salli 15307,Education
බස් එකට Rs.31811,Transport
concert 25027,Entertainment
concert salli 30432,Entertainment
pin 39961,Gifts & Charity
pin Rs.38642,Gifts & Charity
9520 ෆිල්ම්,Entertainment
loan salli 38729,Finance
helping salli 40670,Gifts & Charity
hoppers 8876,Food
general 7463,Other
perfume 36613,Personal Care
pocket money salli 26650,Other
ආධාර Rs.36545,Gifts & Charity
pen and paper Rs.13777,Education
perfume salli 30751,Personal Care
milk powder salli 36832,Shopping
කොත්තු 44088,Food
exam fee 17195,Education
2851 dansal,Gifts & Charity
4749 home rent,Utilities
rice and curry Rs.7593,Food
furniture 30604,Shopping
8328 other,Other
facewash 35441,Personal Care
charity salli 39437,Gifts & Charity
match ticket 33488,Entertainment
adventure 31952,Entertainment
ආධාර 44028,Gifts & Charity
lab salli 21687,Health
බෙහෙත් වලට 4009,Health
hair cut salli 8086,Personal Care
කෝච්චියට Rs.48391,Transport
investment Rs.9731,Finance
බත් 2124,Food
auto salli 9527,Transport
udemy 36784,Education
stationary 4954,Education
ණය 27340,Finance
ඇඳුම් ගත්තා 36549,Shopping
outing Rs.40698,Entertainment
kottu 48859,Food
ආධාර 6783,Gifts & Charity
35098 adventure,Entertainment
bag 5883,Shopping
ඉන්ෂුවරන්ස් salli 3788,Finance
කෝස් එකට 21046,Education
සැලෝන් එකට 40172,Personal Care
hair cut salli 3508,Personal Care
gas 4834,Utilities
body lotion Rs.48162,Personal Care
data Rs.5158,Utilities
